index,year,energia_Gg_CO2e_GWP_SAR,residuo_Gg_CO2e_GWP_SAR,agropecuaria_Gg_CO2e_GWP_SAR,ippu_Gg_CO2e_GWP_SAR,lulucf_Gg_CO2e_GWP_SAR
"2300
Fabricação de produtos de minerais não-metálicos",2000,13966.785092227574,0.0,0.0,21701.886224650065,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2000,5676.802853909272,0.0,0.0,39209.36607086121,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",2000,3238.696090515923,0.0,0.0,3479.109645385152,0.0
"2500
Fabricação de produtos de metal, exceto máquinas e equipamentos",2000,1027.1760687662374,0.0,0.0,0.0,0.0
"2600
Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2000,66.16521215422885,0.0,0.0,0.0,0.0
"2700
Fabricação de máquinas e equipamentos elétricos",2000,384.6942441807161,0.0,0.0,0.0,0.0
"2800
Fabricação de máquinas e equipamentos mecânicos",2000,389.2190479385341,0.0,0.0,0.0,0.0
"2991
Fabricação de automóveis, caminhões e ônibus, exceto peças",2000,291.73735031680184,0.0,0.0,0.0,0.0
"2992
Fabricação de peças e acessórios para veículos automotores",2000,872.863472873185,0.0,0.0,0.0,0.0
"3000
Fabricação de outros equipamentos de transporte, exceto veículos automotores",2000,75.26126613534964,0.0,0.0,0.0,0.0
"3180
Fabricação de móveis e de produtos de indústrias diversas",2000,174.74819360220067,0.0,0.0,0.0,0.0
"3300
Manutenção, reparação e instalação de máquinas e equipamentos",2000,137.61653001046167,0.0,0.0,0.0,0.0
"3500
Energia elétrica, gás natural e outras utilidades",2000,6558.184982267405,0.0,0.0,0.0,0.0
"3680
Água, esgoto e gestão de resíduos",2000,1715.271648036284,0.0,0.0,0.0,0.0
"4180
Construção",2000,1656.344190160364,0.0,0.0,0.0,0.0
"4500
Comércio e reparação de veículos automotores e motocicletas",2000,109.07417966374709,0.0,0.0,0.0,0.0
"4680
Comércio por atacado e a varejo, exceto veículos automotores",2000,1992.5138521299139,0.0,0.0,0.0,0.0
"4900
Transporte terrestre",2000,116401.06368602319,0.0,0.0,0.0,0.0
"5000
Transporte aquaviário",2000,2990.8068026158635,0.0,0.0,0.0,0.0
"5100
Transporte aéreo",2000,8398.694543991132,0.0,0.0,0.0,0.0
"5280
Armazenamento, atividades auxiliares dos transportes e correio",2000,217.79119766256701,0.0,0.0,0.0,0.0
"5500
Alojamento",2000,93.99416381358795,0.0,0.0,0.0,0.0
"5600
Alimentação",2000,171.56401657539723,0.0,0.0,0.0,0.0
"5800
Edição e edição integrada à impressão",2000,7.748338505095961,0.0,0.0,0.0,0.0
"5980
Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",2000,26.276944719376903,0.0,0.0,0.0,0.0
"6100
Telecomunicações",2000,132.9439723823731,0.0,0.0,0.0,0.0
"6280
Desenvolvimento de sistemas e outros serviços de informação",2000,58.64368437400927,0.0,0.0,0.0,0.0
"6480
Intermediação financeira, seguros e previdência complementar",2000,158.6665306567449,0.0,0.0,0.0,0.0
"6800
Atividades imobiliárias",2000,60.22762137133262,0.0,0.0,0.0,0.0
"6980
Atividades jurídicas, contábeis, consultoria e sedes de empresas ",2000,89.77551681947098,0.0,0.0,0.0,0.0
"7180
Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",2000,80.3467564834415,0.0,0.0,0.0,0.0
"7380
Outras atividades profissionais, científicas e técnicas",2000,19.985767434796177,0.0,0.0,0.0,0.0
"7700
Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual",2000,21.39223240825158,0.0,0.0,0.0,0.0
"7880
Outras atividades administrativas e serviços complementares",2000,567.315982869666,0.0,0.0,0.0,0.0
"8000
Atividades de vigilância, segurança e investigação",2000,9.281884739657867,0.0,0.0,0.0,0.0
"8400
Administração pública, defesa e seguridade social",2000,1801.034124018794,0.0,0.0,0.0,0.0
"8591
Educação pública",2000,508.1373564137953,0.0,0.0,0.0,0.0
"8592
Educação privada",2000,185.27073837612747,0.0,0.0,0.0,0.0
"8691
Saúde pública",2000,417.0563356214491,18.584614067565894,0.0,0.0,0.0
"8692
Saúde privada",2000,140.31567207150405,31.84362660651192,0.0,0.0,0.0
"9080
Atividades artísticas, criativas e de espetáculos",2000,73.35757131771199,0.0,0.0,0.0,0.0
"9480
Organizações associativas e outros serviços pessoais",2000,225.01283971555,0.0,0.0,0.0,0.0
"9700
Serviços domésticos",2000,0.0,0.0,0.0,0.0,0.0
