"CD_MUN","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Soil_Group","Legenda","Rotulo","area","porc_mun"
3546405.0,Santa Cruz do Rio Pardo,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,548.581776015448,0.492113047788577
3546504.0,Santa Ernestina,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,83.9563696990905,0.624576581208506
3546504.0,Santa Ernestina,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,5.23371170678473,0.0389351490133565
3546504.0,Santa Ernestina,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,45.2311764911813,0.336488269778137
3546603.0,Santa Fé do Sul,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,158.428759817146,0.767073911543023
3546603.0,Santa Fé do Sul,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,17.2742676888781,0.0836378451768633
3546603.0,Santa Fé do Sul,SP,Water,,,Water,Water,30.8334710413656,0.149288243280114
3546702.0,Santa Gertrudes,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,17.3910965389624,0.176934522863227
3546702.0,Santa Gertrudes,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,80.9000467468844,0.823065477136773
3546801.0,Santa Isabel,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,307.503454000389,0.846343101956022
3546801.0,Santa Isabel,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,55.8284539335256,0.153656898043978
3546900.0,Santa Lúcia,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,51.3959213506909,0.33366951819856
3546900.0,Santa Lúcia,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,102.636492602406,0.66633048180144
3547007.0,Santa Maria da Serra,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,214.202726720924,0.847922281550013
3547007.0,Santa Maria da Serra,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,2.48939770956469,0.00985428998917253
3547007.0,Santa Maria da Serra,SP,Water,,,Water,Water,35.9285831293583,0.142223428460815
3547106.0,Santa Mercedes,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,56.2785803902414,0.337496949254276
3547106.0,Santa Mercedes,SP,GLdy,Dystric GLEYSOLS,GLEYSOLS,Dystric GLEYSOLS,GL,5.4235331696763,0.0325243793687184
3547106.0,Santa Mercedes,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,105.050743064692,0.629978671377005
3547205.0,Santana da Ponte Pensa,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,129.884401795778,0.999970921953648
3547205.0,Santana da Ponte Pensa,SP,Water,,,Water,Water,0.00377689448058605,0.0000290780463524
