atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc
0792;Extração de minerais metálicos não ferrosos, inclusive beneficiamentos;0723;072;B;072;Extracción de minerales metalíferos no ferrosos;Extração de minerais metálicos não-ferrosos
0792;Extração de minerais metálicos não ferrosos, inclusive beneficiamentos;0724;072;B;072;Extracción de minerales metalíferos no ferrosos;Extração de minerais metálicos não-ferrosos
0792;Extração de minerais metálicos não ferrosos, inclusive beneficiamentos;0725;072;B;072;Extracción de minerales metalíferos no ferrosos;Extração de minerais metálicos não-ferrosos
0792;Extração de minerais metálicos não ferrosos, inclusive beneficiamentos;0729;072;B;072;Extracción de minerales metalíferos no ferrosos;Extração de minerais metálicos não-ferrosos
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1011;101;C;101;Elaboración y conservación de carne;Abate e fabricação de produtos de carne
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1012;101;C;101;Elaboración y conservación de carne;Abate e fabricação de produtos de carne
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1013;101;C;101;Elaboración y conservación de carne;Abate e fabricação de produtos de carne
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1020;102;C;102;Elaboración y conservación de pescado, crustáceos y moluscos;Preservação do pescado e fabricação de produtos do pescado
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1051;105;C;105;Elaboración de productos lácteos;Laticínios
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1052;105;C;105;Elaboración de productos lácteos;Laticínios
1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1053;105;C;105;Elaboración de productos lácteos;Laticínios
1092;Fabricação e refino de açúcar;1071;107;C;107;Elaboración de otros productos alimenticios;Fabricação e refino de açúcar
1092;Fabricação e refino de açúcar;1072;107;C;107;Elaboración de otros productos alimenticios;Fabricação e refino de açúcar
1093;Outros produtos alimentares;1031;103;C;103;Elaboración y conservación de frutas, legumbres y hortalizas;Fabricação de conservas de frutas, legumes e outros vegetais
1093;Outros produtos alimentares;1032;103;C;103;Elaboración y conservación de frutas, legumbres y hortalizas;Fabricação de conservas de frutas, legumes e outros vegetais
1093;Outros produtos alimentares;1033;103;C;103;Elaboración y conservación de frutas, legumbres y hortalizas;Fabricação de conservas de frutas, legumes e outros vegetais
1093;Outros produtos alimentares;1041;104;C;104;Elaboración de aceites y grasas de origen vegetal y animal;Fabricação de óleos e gorduras vegetais e animais
1093;Outros produtos alimentares;1042;104;C;104;Elaboración de aceites y grasas de origen vegetal y animal;Fabricação de óleos e gorduras vegetais e animais
1093;Outros produtos alimentares;1043;104;C;104;Elaboración de aceites y grasas de origen vegetal y animal;Fabricação de óleos e gorduras vegetais e animais
