setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
TÊXTIL,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
PAPEL E CELULOSE,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
CERÂMICA,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
OUTROS,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
CONSUMO NÃO-IDENTIFICADO,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
SETOR ENERGÉTICO,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
RESIDENCIAL,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,5.86e-05,4.19e-05,0.000167,2.5e-05,5.86e-05
COMERCIAL,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,4.19e-05,0.000167,2.51e-05,5.86e-05
PÚBLICO,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.8350000000000005e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,4.19e-05,0.000167,2.5093750000000003e-05,5.86e-05
AGROPECUÁRIO,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,4.19e-05,0.000167,2.51e-05,5.86e-05
RODOVIÁRIO,N2O Gg/1000 tep,4.199999999999999e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.509444444444445e-05,2.51e-05,2.5094117647058827e-05,2.8349999999999998e-05,2.5094117647058827e-05,5.86e-05,0.0001302058823529412,0.000167,2.5093750000000003e-05,5.86e-05
FERROVIÁRIO,N2O Gg/1000 tep,4.199999999999999e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.509444444444445e-05,2.8350000000000005e-05,2.5094117647058827e-05,2.8349999999999998e-05,2.5094117647058827e-05,5.86e-05,0.0001302058823529412,0.000167,2.5093750000000003e-05,5.86e-05
AÉREO,N2O Gg/1000 tep,4.199999999999999e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.5095e-05,2.509444444444445e-05,8.37e-05,2.5094117647058827e-05,8.37e-05,2.5094117647058827e-05,5.86e-05,0.0001302058823529412,0.000167,2.5093750000000003e-05,5.86e-05
HIDROVIÁRIO,N2O Gg/1000 tep,4.199999999999999e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.8350000000000005e-05,2.5094117647058827e-05,2.8349999999999998e-05,2.5094117647058827e-05,5.86e-05,0.0001302058823529412,0.000167,2.5093750000000003e-05,5.86e-05
CIMENTO,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
FERRO-GUSA E AÇO,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
FERRO-LIGAS,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
MINERAÇÃO E PELOTIZAÇÃO,N2O Gg/1000 tep,4.2e-06,5.86e-05,5.86e-05,0.000167,0.000167,0.000167,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,2.51e-05,5.86e-05,0.000167,0.000167,2.51e-05,5.86e-05
