biome,from_level_1,to_level_2,year,values,total,coeficiente
PAMPA,1. Forest,Forest Plantation,2011-2012,10869.833049737561,15975.12124791871,0.6804225696348764
PAMPA,1. Forest,Land Use Mosaic,2011-2012,3847.265096917723,15975.12124791871,0.24082853815077973
PAMPA,1. Forest,Pasture,2011-2012,0.0,15975.12124791871,0.0
PANTANAL,1. Forest,Agriculture,2011-2012,11.79938740234375,24031.93695048827,0.0004909877812451575
PANTANAL,1. Forest,Forest Plantation,2011-2012,17.31897496337887,24031.93695048827,0.0007206649634218099
PANTANAL,1. Forest,Land Use Mosaic,2011-2012,18880.82152830809,24031.93695048827,0.7856554204185558
PANTANAL,1. Forest,Pasture,2011-2012,5121.997059814457,24031.93695048827,0.21313292683677712
AMAZÔNIA,1. Forest,Agriculture,2012-2013,27138.10050181277,1069544.9367780057,0.025373501915278145
AMAZÔNIA,1. Forest,Forest Plantation,2012-2013,8027.308247943109,1069544.9367780057,0.007505349211530374
AMAZÔNIA,1. Forest,Land Use Mosaic,2012-2013,7.30319934082031,1069544.9367780057,6.828323981244894e-06
AMAZÔNIA,1. Forest,Pasture,2012-2013,1034372.2248289089,1069544.9367780057,0.9671143205492102
CAATINGA,1. Forest,Agriculture,2012-2013,15586.495552301056,435169.10678869626,0.03581710031606022
CAATINGA,1. Forest,Forest Plantation,2012-2013,816.0939801269368,435169.10678869626,0.0018753490709606025
CAATINGA,1. Forest,Land Use Mosaic,2012-2013,184109.92031991587,435169.10678869626,0.4230767245371431
CAATINGA,1. Forest,Pasture,2012-2013,234656.59693635238,435169.10678869626,0.5392308260758361
CERRADO,1. Forest,Agriculture,2012-2013,230968.98098028096,1067387.97479194,0.21638709301114475
CERRADO,1. Forest,Forest Plantation,2012-2013,90090.65404416567,1067387.97479194,0.08440291269135436
CERRADO,1. Forest,Land Use Mosaic,2012-2013,168562.84655913696,1067387.97479194,0.15792087838725555
CERRADO,1. Forest,Pasture,2012-2013,577765.4932083564,1067387.97479194,0.5412891159102453
MATA ATLÂNTICA,1. Forest,Agriculture,2012-2013,7699.498449578862,234949.24769355467,0.03277090063136253
MATA ATLÂNTICA,1. Forest,Forest Plantation,2012-2013,49028.563367541465,234949.24769355467,0.2086772519973745
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2012-2013,147156.6334412903,234949.24769355467,0.6263337077513325
MATA ATLÂNTICA,1. Forest,Pasture,2012-2013,31064.55243514404,234949.24769355467,0.13221813961993048
PAMPA,1. Forest,Agriculture,2012-2013,1100.7704539550782,27914.732826721392,0.039433315045070576
PAMPA,1. Forest,Forest Plantation,2012-2013,22056.870266937458,27914.732826721392,0.7901515806672349
PAMPA,1. Forest,Land Use Mosaic,2012-2013,4757.092105828855,27914.732826721392,0.1704151042876945
PAMPA,1. Forest,Pasture,2012-2013,0.0,27914.732826721392,0.0
PANTANAL,1. Forest,Agriculture,2012-2013,48.66548676757807,24467.662638317866,0.0019889716270390665
PANTANAL,1. Forest,Forest Plantation,2012-2013,1.377169592285156,24467.662638317866,5.6285294294046036e-05
PANTANAL,1. Forest,Land Use Mosaic,2012-2013,16536.04650493163,24467.662638317866,0.6758327000567338
