setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
SETOR ENERGÉTICO,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041900,0.0041900,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041900,0.0041900,0.0083700,0.0126000
RESIDENCIAL,NOx Gg/1000 tep,0.0020900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900
COMERCIAL,NOx Gg/1000 tep,0.0020900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900
PÚBLICO,NOx Gg/1000 tep,0.0020900,-,-,0.0041900,-,0.0041900,0.0041900,0.0041900,-,0.0041900,0.0041900,0.0041900,-,0.0041900,-,,-
AGROPECUÁRIO,NOx Gg/1000 tep,0.0020900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900,0.0041900
RODOMÁRIO,NOx Gg/1000 tep,-,-,-,-,-,0.0041900,0.0335000,-,0.0251000,-,-,-,-,0.0062775,0.0201700,0.0000945,0.0000314
FERROVÁRIO,NOx Gg/1000 tep,-,-,-,-,-,0.0041900,0.0502000,-,-,-,-,-,-,-,-,-,-
AÉREO,NOx Gg/1000 tep,-,-,-,-,-,0.0041900,-,-,0.0126000,-,0.0126000,-,-,-,-,-,-
HIDROMARIO,NOx Gg/1000 tep,-,-,-,-,-,0.0041900,0.0628000,0.0628000,-,-,-,-,-,-,-,-,-
CIMENT 0,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
FERRO-GUSA EAÇO,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
FERRO-LIGAS,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
MINERAÇÃO E PELOTIZ.,NOx Gg/1000 tep,0.0062800,0.0126000,0.0126000,0.0041870,0.0041870,0.0041900,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0083700,0.0126000,0.0041870,0.0041870,0.0083700,0.0126000
