"CD_MUN","Soil_Group","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Legenda","Rotulo","area","porc_mun","note","note2","final_note_mun"
1100155.0,LIXISOLS,Ouro Preto do Oeste,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,1291.75418911806,0.655765056558209,"0.5",0.327882528279105,0.488409897924894
1100155.0,ACRISOLS,Ouro Preto do Oeste,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,632.42742239543,0.321054739291578,"0.5",0.160527369645789,0.488409897924894
1100155.0,ARENOSOLS,Ouro Preto do Oeste,RO,ARdy,Dystric ARENOSOLS,Dystric ARENOSOLS,AR,43.2661609695846,0.0219642690027949,"0",0.0,0.488409897924894
1100189.0,LIXISOLS,Pimenta Bueno,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,392.837625931463,0.0629452971984181,"0.5",0.0314726485992091,0.457484105092714
1100189.0,CAMBISOLS,Pimenta Bueno,RO,CMeu,Eutric CAMBISOLS,Eutric CAMBISOLS,CM,2570.04833761451,0.411804892776919,"1",0.411804892776919,0.457484105092714
1100189.0,LEPTOSOLS,Pimenta Bueno,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,160.696631422386,0.0257487993918166,"0",0.0,0.457484105092714
1100189.0,ACRISOLS,Pimenta Bueno,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,177.324534523222,0.0284131274331719,"0.5",0.0142065637165859,0.457484105092714
1100189.0,ARENOSOLS,Pimenta Bueno,RO,ARdy,Dystric ARENOSOLS,Dystric ARENOSOLS,AR,2940.02973816906,0.471087883199675,"0",0.0,0.457484105092714
1100205.0,PLINTHOSOLS,Porto Velho,RO,PTdy,Dystric PLINTHOSOLS,Dystric PLINTHOSOLS,PT,5757.72527958456,0.169849915121337,"0.5",0.0849249575606686,0.484559364856616
1100205.0,FERRALSOLS,Porto Velho,RO,FRha,Haplic FERRALSOLS,Haplic FERRALSOLS,FR,14670.3104052675,0.432766562512711,"0.5",0.216383281256355,0.484559364856616
1100205.0,LEPTOSOLS,Porto Velho,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,362.741799643771,0.0107006953073838,"0",0.0,0.484559364856616
1100205.0,ACRISOLS,Porto Velho,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,4727.84153615723,0.139468877834578,"0.5",0.0697344389172888,0.484559364856616
1100205.0,Water,Porto Velho,RO,Water,,Water,Water,1466.1169874569,0.0432496921588923,"0",0.0,0.484559364856616
1100205.0,GLEYSOLS,Porto Velho,RO,GLdy,Dystric GLEYSOLS,Dystric GLEYSOLS,GL,1457.67661933023,0.0430007056685175,"0.5",0.0215003528342587,0.484559364856616
1100205.0,FLUVISOLS,Porto Velho,RO,FLdy,Dystric FLUVISOLS,Dystric FLUVISOLS,FL,782.017695253248,0.0230691171795073,"1",0.0230691171795073,0.484559364856616
1100205.0,FERRALSOLS,Porto Velho,RO,FRxa,Xanthic FERRALSOLS,Xanthic FERRALSOLS,FR,4674.46962948711,0.137894434217073,"0.5",0.0689472171085367,0.484559364856616
1100254.0,LEPTOSOLS,Presidente Médici,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,338.591952290339,0.192549294521554,"0",0.0,0.437963561614515
1100254.0,LIXISOLS,Presidente Médici,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,1172.76361925361,0.666923138604884,"0.5",0.333461569302442,0.437963561614515
1100254.0,CAMBISOLS,Presidente Médici,RO,CMeu,Eutric CAMBISOLS,Eutric CAMBISOLS,CM,120.413653187515,0.0684764177505844,"1",0.0684764177505844,0.437963561614515
1100254.0,ACRISOLS,Presidente Médici,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,126.699707246034,0.0720511491229777,"0.5",0.0360255745614888,0.437963561614515
1100262.0,ACRISOLS,Rio Crespo,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,64.7026365994539,0.0376692531424567,"0.5",0.0188346265712283,0.5
1100262.0,FERRALSOLS,Rio Crespo,RO,FRha,Haplic FERRALSOLS,Haplic FERRALSOLS,FR,1652.94852985089,0.962330746857543,"0.5",0.481165373428772,0.5
1100288.0,CAMBISOLS,Rolim de Moura,RO,CMeu,Eutric CAMBISOLS,Eutric CAMBISOLS,CM,707.415045082675,0.485232919902092,"1",0.485232919902092,0.742616459951046
1100288.0,LIXISOLS,Rolim de Moura,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,750.472530280956,0.514767080097908,"0.5",0.257383540048954,0.742616459951046
1100296.0,ARENOSOLS,Santa Luzia D'Oeste,RO,ARdy,Dystric ARENOSOLS,Dystric ARENOSOLS,AR,144.476779952723,0.120618858994039,"0",0.0,0.43969057050298
1100296.0,LIXISOLS,Santa Luzia D'Oeste,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,1053.31916305037,0.879381141005961,"0.5",0.43969057050298,0.43969057050298
1100304.0,NITISOLS,Vilhena,RO,NTdy,Dystric NITISOLS,Dystric NITISOLS,NT,0.0556258957265019,0.0000047546848294,"1",0.0000047546848294,0.268616958991948
1100304.0,FERRALSOLS,Vilhena,RO,FRha,Rhodic FERRALSOLS,Rhodic FERRALSOLS,FR,439.195448929035,0.0375407157207979,"0.5",0.0187703578603989,0.268616958991948
1100304.0,LEPTOSOLS,Vilhena,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,471.400891118958,0.0402935114359234,"0",0.0,0.268616958991948
1100304.0,CAMBISOLS,Vilhena,RO,CMeu,Eutric CAMBISOLS,Eutric CAMBISOLS,CM,952.367746180892,0.0814046841974693,"1",0.0814046841974693,0.268616958991948
1100304.0,CAMBISOLS,Vilhena,RO,CMdy,Dystric CAMBISOLS,Dystric CAMBISOLS,CM,706.985605011482,0.0604303748619234,"1",0.0604303748619234,0.268616958991948
1100304.0,ACRISOLS,Vilhena,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,2362.6363599068,0.201948950416408,"0.5",0.100974475208204,0.268616958991948
