atividade,descricao,CNAE 4 digitos
3500,"Energia elétrica, gás natural e outras utilidades",3514
3500,"Energia elétrica, gás natural e outras utilidades",3520
3500,"Energia elétrica, gás natural e outras utilidades",3530
3680,"Água, esgoto e gestão de resíduos",3600
3680,"Água, esgoto e gestão de resíduos",3701
3680,"Água, esgoto e gestão de resíduos",3702
3680,"Água, esgoto e gestão de resíduos",3811
3680,"Água, esgoto e gestão de resíduos",3812
3680,"Água, esgoto e gestão de resíduos",3821
3680,"Água, esgoto e gestão de resíduos",3822
3680,"Água, esgoto e gestão de resíduos",3831
3680,"Água, esgoto e gestão de resíduos",3832
3680,"Água, esgoto e gestão de resíduos",3839
3680,"Água, esgoto e gestão de resíduos",3900
4180,Construção,4110
4180,Construção,4120
4180,Construção,4211
4180,Construção,4212
4180,Construção,4213
4180,Construção,4221
4180,Construção,4222
4180,Construção,4223
4180,Construção,4291
4180,Construção,4292
4180,Construção,4299
4180,Construção, 4311
4180,Construção,4312
4180,Construção,4313
4180,Construção,4319
4180,Construção,4321
4180,Construção,4322
4180,Construção,4329
4180,Construção,4330
4180,Construção,4391
4180,Construção,4399
4580,Comércio por atacado e varejo,4511
4580,Comércio por atacado e varejo,4512
4580,Comércio por atacado e varejo,4520
4580,Comércio por atacado e varejo,4530
4580,Comércio por atacado e varejo,4541
4580,Comércio por atacado e varejo,4542
4580,Comércio por atacado e varejo,4543
4580,Comércio por atacado e varejo,4611
4580,Comércio por atacado e varejo,4612
4580,Comércio por atacado e varejo,4613
4580,Comércio por atacado e varejo,4614
4580,Comércio por atacado e varejo,4615
4580,Comércio por atacado e varejo,4616
4580,Comércio por atacado e varejo,4617
4580,Comércio por atacado e varejo,4618
4580,Comércio por atacado e varejo,4619
4580,Comércio por atacado e varejo,4621
4580,Comércio por atacado e varejo,4622
4580,Comércio por atacado e varejo,4623
4580,Comércio por atacado e varejo,4631
4580,Comércio por atacado e varejo,4632
4580,Comércio por atacado e varejo,4633
