atividade,descricao,CNAE 4 digitos,cnae_2.0,Secao_ISIC_Rev.4
1400,Confecção de artefatos do vestuário e acessórios,1422,14,C
1500,Fabricação de calçados e de artefatos de couro,1510,15,C
1500,Fabricação de calçados e de artefatos de couro,1521,15,C
1500,Fabricação de calçados e de artefatos de couro,1529,15,C
1500,Fabricação de calçados e de artefatos de couro,1531,15,C
1500,Fabricação de calçados e de artefatos de couro,1532,15,C
1500,Fabricação de calçados e de artefatos de couro,1533,15,C
1500,Fabricação de calçados e de artefatos de couro,1539,15,C
1500,Fabricação de calçados e de artefatos de couro,1540,15,C
1600,Fabricação de produtos da madeira,1610,16,C
1600,Fabricação de produtos da madeira,1621,16,C
1600,Fabricação de produtos da madeira,1622,16,C
1600,Fabricação de produtos da madeira,1623,16,C
1600,Fabricação de produtos da madeira,1629,16,C
1700,"Fabricação de celulose, papel e produtos de papel",1710,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1721,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1722,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1731,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1732,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1733,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1741,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1742,17,C
1700,"Fabricação de celulose, papel e produtos de papel",1749,17,C
1800,Impressão e reprodução de gravações,1811,18,C
1800,Impressão e reprodução de gravações,1812,18,C
1800,Impressão e reprodução de gravações,1813,18,C
1800,Impressão e reprodução de gravações,1821,18,C
1800,Impressão e reprodução de gravações,1822,18,C
1800,Impressão e reprodução de gravações,1830,18,C
1991,Refino de petróleo e coquerias,1910,191,C
1991,Refino de petróleo e coquerias,1921,192,C
1991,Refino de petróleo e coquerias,1922,192,C
1992,Fabricação de biocombustíveis,1931,193,C
1992,Fabricação de biocombustíveis,1932,193,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2011,201,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2012,201,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2013,201,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2014,201,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2019,201,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2021,202,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2022,202,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2029,202,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2031,203,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2032,203,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2033,203,C
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2040,204,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2051,205,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2052,205,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2071,207,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2072,207,C
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2073,207,C
