gtap11_code;gtap11_short_description;gtap11_description;joaom_code
wap;Wearing apparel;Manufacture of wearing apparel;Vestuario
lea;Leather products;Manufacture of leather and related products;Couro
lum;Wood products;"Lumber: manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";Madeira
ppp;Paper products, publishing;Paper & Paper Products: includes printing and reproduction of recorded media;PapelGrafica
p_c;Petroleum, coal products;Petroleum & Coke: manufacture of coke and refined petroleum products;RefinBioComb
chm;Chemical products;Manufacture of chemicals and chemical products;QuimDefLimp
bph;Basic pharmaceutical products;Manufacture of pharmaceuticals, medicinal chemical and botanical products;Farmacos
rpp;Rubber and plastic products;Manufacture of rubber and plastics products;BorrPlast
nmm;Mineral products nec;Manufacture of other non-metallic mineral products;FabMinNmet
i_s;Ferrous metals;Iron & Steel: basic production and casting;FabFerrAco
nfm;Metals nec;Non-Ferrous Metals: production and casting of copper, aluminium, zinc, lead, gold, and silver;FabMetnFer
fmp;Metal products;Manufacture of fabricated metal products, except machinery and equipment;FabProdMet
ele;Computer, electronic and optic;Manufacture of computer, electronic and optical products;FabEletroni
eeq;Electrical equipment;Manufacture of electrical equipment;FabEqElet
ome;Machinery and equipment nec;Manufacture of machinery and equipment n.e.c.;FabEqMec
mvh;Motor vehicles and parts;Manufacture of motor vehicles, trailers and semi-trailers;FabVeicPecas
otn;Transport equipment nec;Manufacture of other transport equipment;FabEqTran
omf;Manufactures nec;Other Manufacturing: includes furniture;FabDivers
ely;Electricity;"Electricity; steam and air conditioning supply";EletGas
gdt;Gas manufacture, distribution;Gas manufacture, distribution;EletGas
wtr;Water;"Water supply; sewerage, waste management and remediation activities";AguaEsgoto
cns;Construction;Construction: building houses factories offices and roads;Construcao
trd;Trade;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Comercio
afs;Accommodation, Food and servic;Accommodation, Food and service activities;AlojamAlimen
otp;Transport nec;Land transport and transport via pipelines;TranspTerr
wtp;Water transport;Water transport;TranspAqu
atp;Air transport;Air transport;TranspAer
whs;Warehousing and support activi;Warehousing and support activities;TranspAux
cmn;Communication;Information and communication;TICRadTVEdic
ofi;Financial services nec;Other Financial Intermediation: includes auxiliary activities but not insurance and pension funding;FinSeg
ins;Insurance;Insurance (formerly isr): includes pension funding, except compulsory social security;FinSeg
rsa;Real estate activities;Real estate activities;Imobili
obs;Business services nec;Other Business Services nec;ServEmp
