,comtrade_reference,comtrade_class,comtrade_id,comtrade_description,gtap11_code,gtap11_short_description,joaom_code
74,cmd:HS,product,75,75 - Nickel and articles thereof,nfm,Metals nec,FabMetnFer
75,cmd:HS,product,76,76 - Aluminium and articles thereof,nfm,Metals nec,FabMetnFer
76,cmd:HS,product,77,77 - (Reserved for possible future use in the Harmonized System),,,
77,cmd:HS,product,78,78 - Lead and articles thereof,nfm,Metals nec,FabMetnFer
78,cmd:HS,product,79,79 - Zinc and articles thereof,nfm,Metals nec,FabMetnFer
79,cmd:HS,product,80,80 - Tin; articles thereof,nfm,Metals nec,FabMetnFer
80,cmd:HS,product,81,"81 - Metals; n.e.c., cermets and articles thereof",nfm,Metals nec,FabMetnFer
81,cmd:HS,product,82,"82 - Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",fmp,Metal products,FabProdMet
82,cmd:HS,product,83,83 - Metal; miscellaneous products of base metal,fmp,Metal products,FabProdMet
83,cmd:HS,product,84,"84 - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",ome,Machinery and equipment nec,FabEqMec
84,cmd:HS,product,85,"85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",eeq,Electrical equipment,FabEqElet
85,cmd:HS,product,86,"86 - Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",otn,Transport equipment nec,FabEqTran
86,cmd:HS,product,87,"87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",mvh,Motor vehicles and parts,FabVeicPecas
87,cmd:HS,product,88,"88 - Aircraft, spacecraft, and parts thereof",otn,Transport equipment nec,FabEqTran
88,cmd:HS,product,89,"89 - Ships, boats and floating structures",otn,Transport equipment nec,FabEqTran
89,cmd:HS,product,90,"90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",ele,"Computer, electronic and optic",FabEletroni
90,cmd:HS,product,91,91 - Clocks and watches and parts thereof,ele,"Computer, electronic and optic",FabEletroni
91,cmd:HS,product,92,92 - Musical instruments; parts and accessories of such articles,omf,Manufactures nec,FabDivers
92,cmd:HS,product,93,93 - Arms and ammunition; parts and accessories thereof,omf,Manufactures nec,FabDivers
93,cmd:HS,product,94,"94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",omf,Manufactures nec,FabDivers
94,cmd:HS,product,95,"95 - Toys, games and sports requisites; parts and accessories thereof",omf,Manufactures nec,FabDivers
95,cmd:HS,product,96,96 - Miscellaneous manufactured articles,omf,Manufactures nec,FabDivers
96,cmd:HS,product,97,97 - Works of art; collectors' pieces and antiques,ros,Recreational and other service,DomestArtOut
97,cmd:HS,product,99,99 - Commodities not specified according to kind,omf,Manufactures nec,FabDivers
98,cmd:EB10,sevice,1,1 Manufacturing services on physical inputs ow...,obs,Business services nec,ServEmp
99,cmd:EB10,sevice,10,10 Other business services,obs,Business services nec,ServEmp
100,cmd:EB10,sevice,11,"11 Personal,cultural, and recreational services",ros,Recreational and other service ,DomestArtOut
101,cmd:EB10,sevice,12,12 Government goods and services n.i.e.,osg,Public Administration and defe ,AdmPub
102,cmd:EB10,sevice,2,2 Maintenance and repair services n.i.e.,obs,Business services nec,ServEmp
103,cmd:EB10,sevice,3.1,3.1 Sea transport,wtp,Water transport,TranspAqu
104,cmd:EB10,sevice,3.2,3.2 Air transport,atp,Air transport,TranspAer
105,cmd:EB10,sevice,3.3,3.3 Other modes of transport,otp,Transport nec,TranspTerr
106,cmd:EB10,sevice,3.4,3.4 Postal and courier services,cmn,Communication,TICRadTVEdic
107,cmd:EB10,sevice,4,4 Travel,afs," Accommodation,Food and servic ",AlojamAlimen
108,cmd:EB10,sevice,5,5 Construction,cns,Construction,Construcao
109,cmd:EB10,sevice,6,6 Insurance and pension services,ins,Insurance,FinSeg
110,cmd:EB10,sevice,7,7 Financial services,ofi,Financial services nec,FinSeg
111,cmd:EB10,sevice,8,8 Charges for the use of intellectual property...,obs,Business services nec,ServEmp
112,cmd:EB10,sevice,9,"9 Telecommunications, computer, and informatio...",cmn,Communication,TICRadTVEdic
